Epoch 0: Loss 2.6612 | Dice 0.0256 | IoU 0.0130
Epoch 0: Loss 1.0519 | Dice 0.5979 | IoU 0.4348
Epoch 1: Loss 0.9952 | Dice 0.6123 | IoU 0.4562
Epoch 2: Loss 0.9101 | Dice 0.6535 | IoU 0.4994
Epoch 3: Loss 0.6935 | Dice 0.7504 | IoU 0.6054
Epoch 4: Loss 0.7867 | Dice 0.7100 | IoU 0.5593
Epoch 5: Loss 0.8787 | Dice 0.6688 | IoU 0.5147
Epoch 6: Loss 0.6891 | Dice 0.7448 | IoU 0.6031
Epoch 7: Loss 0.6172 | Dice 0.7790 | IoU 0.6402
Epoch 8: Loss 0.5779 | Dice 0.7968 | IoU 0.6647
Epoch 9: Loss 0.5760 | Dice 0.7962 | IoU 0.6595
Epoch 10: Loss 0.6192 | Dice 0.7775 | IoU 0.6395
Epoch 11: Loss 0.5160 | Dice 0.8201 | IoU 0.6940
Epoch 12: Loss 0.5570 | Dice 0.8023 | IoU 0.6707
Epoch 13: Loss 0.5033 | Dice 0.8250 | IoU 0.6999
Epoch 14: Loss 0.4970 | Dice 0.8268 | IoU 0.7035
Epoch 15: Loss 0.4925 | Dice 0.8289 | IoU 0.7061
Epoch 16: Loss 0.4643 | Dice 0.8409 | IoU 0.7193
Epoch 17: Loss 0.4829 | Dice 0.8327 | IoU 0.7081
Epoch 18: Loss 0.4571 | Dice 0.8436 | IoU 0.7240
Epoch 19: Loss 0.4796 | Dice 0.8348 | IoU 0.7121
Epoch 20: Loss 0.5557 | Dice 0.8055 | IoU 0.6760
Epoch 21: Loss 0.4525 | Dice 0.8458 | IoU 0.7282
Epoch 22: Loss 0.4675 | Dice 0.8397 | IoU 0.7176
Epoch 23: Loss 0.4566 | Dice 0.8441 | IoU 0.7243
Epoch 24: Loss 0.4801 | Dice 0.8356 | IoU 0.7132
Epoch 25: Loss 0.4672 | Dice 0.8411 | IoU 0.7200
Epoch 26: Loss 0.4511 | Dice 0.8469 | IoU 0.7294
Epoch 27: Loss 0.4589 | Dice 0.8439 | IoU 0.7244
Epoch 28: Loss 0.4603 | Dice 0.8435 | IoU 0.7241
Epoch 29: Loss 0.4587 | Dice 0.8440 | IoU 0.7248
