Epoch 0: Loss 1.6177 | Dice 0.0000 | IoU 0.0000
Epoch 0: Loss 0.7891 | Dice 0.5055 | IoU 0.3483
Epoch 1: Loss 0.4320 | Dice 0.6619 | IoU 0.5038
Epoch 2: Loss 0.4726 | Dice 0.6004 | IoU 0.4467
Epoch 3: Loss 0.4116 | Dice 0.6513 | IoU 0.5013
Epoch 4: Loss 0.3082 | Dice 0.7409 | IoU 0.5945
Epoch 5: Loss 0.3362 | Dice 0.7158 | IoU 0.5649
Epoch 6: Loss 0.3129 | Dice 0.7326 | IoU 0.5865
Epoch 7: Loss 0.2807 | Dice 0.7646 | IoU 0.6295
Epoch 8: Loss 0.2782 | Dice 0.7643 | IoU 0.6251
Epoch 9: Loss 0.2697 | Dice 0.7710 | IoU 0.6346
Epoch 10: Loss 0.3045 | Dice 0.7416 | IoU 0.5963
Epoch 11: Loss 0.2560 | Dice 0.7824 | IoU 0.6455
Epoch 12: Loss 0.2732 | Dice 0.7667 | IoU 0.6299
Epoch 13: Loss 0.2397 | Dice 0.7958 | IoU 0.6658
Epoch 14: Loss 0.2286 | Dice 0.8050 | IoU 0.6767
Epoch 15: Loss 0.2392 | Dice 0.7953 | IoU 0.6705
Epoch 16: Loss 0.2181 | Dice 0.8146 | IoU 0.6882
Epoch 17: Loss 0.2240 | Dice 0.8095 | IoU 0.6832
Epoch 18: Loss 0.2295 | Dice 0.8035 | IoU 0.6759
Epoch 19: Loss 0.2345 | Dice 0.8007 | IoU 0.6726
Epoch 20: Loss 0.2408 | Dice 0.7960 | IoU 0.6683
Epoch 21: Loss 0.2165 | Dice 0.8170 | IoU 0.6914
Epoch 22: Loss 0.2141 | Dice 0.8170 | IoU 0.6931
Epoch 23: Loss 0.2273 | Dice 0.8083 | IoU 0.6812
Epoch 24: Loss 0.2298 | Dice 0.8045 | IoU 0.6762
Epoch 25: Loss 0.2088 | Dice 0.8231 | IoU 0.7002
Epoch 26: Loss 0.2044 | Dice 0.8257 | IoU 0.7048
Epoch 27: Loss 0.2091 | Dice 0.8226 | IoU 0.7005
Epoch 28: Loss 0.2223 | Dice 0.8117 | IoU 0.6865
Epoch 29: Loss 0.2016 | Dice 0.8290 | IoU 0.7109
