Epoch 0: Val_Loss 1.5788 | Val_Dice 0.0000 | Val_IoU 0.0000
Epoch 0: Val_Loss 1.0182 | Val_Dice 0.1485 | Val_IoU 0.0874
Epoch 1: Val_Loss 0.6004 | Val_Dice 0.5407 | Val_IoU 0.3946
Epoch 2: Val_Loss 0.5824 | Val_Dice 0.5623 | Val_IoU 0.4037
Epoch 3: Val_Loss 0.5922 | Val_Dice 0.5569 | Val_IoU 0.3990
Epoch 4: Val_Loss 0.5383 | Val_Dice 0.5893 | Val_IoU 0.4422
Epoch 5: Val_Loss 0.5288 | Val_Dice 0.6085 | Val_IoU 0.4558
Epoch 6: Val_Loss 0.5433 | Val_Dice 0.5859 | Val_IoU 0.4425
Epoch 7: Val_Loss 0.5092 | Val_Dice 0.6243 | Val_IoU 0.4725
Epoch 8: Val_Loss 0.4320 | Val_Dice 0.6713 | Val_IoU 0.5242
Epoch 9: Val_Loss 0.4290 | Val_Dice 0.6821 | Val_IoU 0.5351
Epoch 10: Val_Loss 0.5196 | Val_Dice 0.6142 | Val_IoU 0.4679
Epoch 11: Val_Loss 0.4339 | Val_Dice 0.6750 | Val_IoU 0.5260
Epoch 12: Val_Loss 0.3663 | Val_Dice 0.7282 | Val_IoU 0.5864
Epoch 13: Val_Loss 0.3758 | Val_Dice 0.7206 | Val_IoU 0.5803
Epoch 14: Val_Loss 0.3895 | Val_Dice 0.7008 | Val_IoU 0.5631
Epoch 15: Val_Loss 0.3409 | Val_Dice 0.7449 | Val_IoU 0.6087
Epoch 16: Val_Loss 0.3148 | Val_Dice 0.7682 | Val_IoU 0.6367
Epoch 17: Val_Loss 0.6270 | Val_Dice 0.5209 | Val_IoU 0.3772
Epoch 18: Val_Loss 0.3007 | Val_Dice 0.7743 | Val_IoU 0.6466
Epoch 19: Val_Loss 0.3016 | Val_Dice 0.7749 | Val_IoU 0.6455
