Epoch 0: Loss 1.6406 | Dice 0.0000 | IoU 0.0000
Epoch 0: Loss 0.6023 | Dice 0.4917 | IoU 0.3283
Epoch 1: Loss 0.5525 | Dice 0.5223 | IoU 0.3546
Epoch 2: Loss 0.4749 | Dice 0.5984 | IoU 0.4295
Epoch 3: Loss 0.4197 | Dice 0.6413 | IoU 0.4742
Epoch 4: Loss 0.3706 | Dice 0.6891 | IoU 0.5253
Epoch 5: Loss 0.3839 | Dice 0.6731 | IoU 0.5095
Epoch 6: Loss 0.3200 | Dice 0.7279 | IoU 0.5709
Epoch 7: Loss 0.3201 | Dice 0.7265 | IoU 0.5690
Epoch 8: Loss 0.3395 | Dice 0.7121 | IoU 0.5526
Epoch 9: Loss 0.3447 | Dice 0.7051 | IoU 0.5414
Epoch 10: Loss 0.3010 | Dice 0.7457 | IoU 0.5942
Epoch 11: Loss 0.2743 | Dice 0.7673 | IoU 0.6191
Epoch 12: Loss 0.2608 | Dice 0.7796 | IoU 0.6341
Epoch 13: Loss 0.2440 | Dice 0.7946 | IoU 0.6541
Epoch 14: Loss 0.2414 | Dice 0.7962 | IoU 0.6565
Epoch 15: Loss 0.2341 | Dice 0.8020 | IoU 0.6621
Epoch 16: Loss 0.2468 | Dice 0.7920 | IoU 0.6550
Epoch 17: Loss 0.2241 | Dice 0.8124 | IoU 0.6777
Epoch 18: Loss 0.2860 | Dice 0.7588 | IoU 0.6089
Epoch 19: Loss 0.2241 | Dice 0.8104 | IoU 0.6740
Epoch 20: Loss 0.2445 | Dice 0.7931 | IoU 0.6531
Epoch 21: Loss 0.2345 | Dice 0.8022 | IoU 0.6641
Epoch 22: Loss 0.2190 | Dice 0.8140 | IoU 0.6802
Epoch 23: Loss 0.2188 | Dice 0.8159 | IoU 0.6824
Epoch 24: Loss 0.2244 | Dice 0.8106 | IoU 0.6768
Epoch 25: Loss 0.2074 | Dice 0.8254 | IoU 0.6947
Epoch 26: Loss 0.2398 | Dice 0.7994 | IoU 0.6627
Epoch 27: Loss 0.2213 | Dice 0.8154 | IoU 0.6814
Epoch 28: Loss 0.2011 | Dice 0.8316 | IoU 0.7026
Epoch 29: Loss 0.2040 | Dice 0.8300 | IoU 0.7027
